usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
239,NORTHERN NORTH SEA ,WORLD,NORTHERN NORTH SEA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
240,USA NEW YORK LONG ISLAND ,WORLD,USA NEW YORK LONG ISLAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
241,USA NEW YORK - LONG ISLAND ,WORLD,USA NEW YORK - LONG ISLAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
242,NORTH ISLAND NEW ZEALAND ,WORLD,NORTH ISLAND NEW ZEALAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
243,SOUTH ISLAND NEW ZEALAND ,WORLD,SOUTH ISLAND NEW ZEALAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
244,USA OHIO CO'S NORTH OF 040-15.,WORLD,USA OHIO CO'S NORTH OF 040-15.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
245,USA OHIO CO'S SOUTH OF 040-15N,WORLD,USA OHIO CO'S SOUTH OF 040-15N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
246,USA OKLAHOMA CO'S NOF 35.20N ,WORLD,USA OKLAHOMA CO'S NOF 35.20N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
247,USA OKLAHOMA CO'S SOF 35.20N ,WORLD,USA OKLAHOMA CO'S SOF 35.20N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
248,ONC SHEET C-1 ,WORLD,ONC SHEET C-1 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
249,USA OREGON CO'S N. OF 044-15N ,WORLD,USA OREGON CO'S N. OF 044-15N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
250,USA OREGON CO'S SOF 044-15N. ,WORLD,USA OREGON CO'S SOF 044-15N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
251,USA PENNSYLVANIA NOF 040-50N. ,WORLD,USA PENNSYLVANIA NOF 040-50N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
252,USA PENNSYLVANIA SOF 040-50N. ,WORLD,USA PENNSYLVANIA SOF 040-50N. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
253,PEARL RIVER MOUTH BASIN ,WORLD,PEARL RIVER MOUTH BASIN ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
254,USA PUERTO RICO/VIRGIN ISLANDS,WORLD,USA PUERTO RICO/VIRGIN ISLANDS,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
255,N.E.ASIA ,WORLD,N.E.ASIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
256,USA SOUTH CAROLINA (1 ZONE) ,WORLD,USA SOUTH CAROLINA (1 ZONE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
257,USA SOUTH DAKOTA N OF 044-20N.,WORLD,USA SOUTH DAKOTA N OF 044-20N.,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
258,USA SOUTH DAKOTA SOF 44.20N ,WORLD,USA SOUTH DAKOTA SOF 44.20N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
259,SEYCHELLES ECONOMIC ZONE ,WORLD,SEYCHELLES ECONOMIC ZONE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
260,SOUTH CHINA SEA ,WORLD,SOUTH CHINA SEA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
